time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	6.91463e-310	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.707577	0.56059	7.2063	1.14691e-16	-2.72599e-17	radar	74.2184	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.1697	0.485009	7.20076	-0.0361035	-0.00336604	lidar	0.0592761	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.26126	0.527363	7.19127	0.213455	0.0378665	radar	1.80284	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61304	0.607301	7.21024	0.219236	0.0405926	lidar	0.144069	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.85053	0.566959	5.98122	0.0580854	-0.18153	radar	7.34555	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.16112	0.602634	5.98725	0.0700187	-0.138259	lidar	0.187749	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.37709	0.64325	5.54265	0.0783447	-0.285179	radar	5.7359	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.65209	0.663363	5.54335	0.065038	-0.281622	lidar	0.00101125	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.91923	0.655092	5.47757	0.0125634	-0.446291	radar	0.279569	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.153	0.65166	5.43238	-0.00360706	-0.425627	lidar	1.12517	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.44007	0.545914	5.47978	-0.158752	-0.861796	radar	1.4076	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74341	0.431244	5.56118	-0.28557	-1.10775	lidar	2.2284	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02343	0.516811	5.53386	-0.14356	-0.560455	radar	4.10168	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.29666	0.508554	5.50962	-0.137307	-0.47647	lidar	0.336076	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.55509	0.54922	5.38401	-0.090258	-0.318079	radar	1.76773	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.73746	0.661047	5.17191	0.0163946	-0.0580573	lidar	12.0526	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.9887	0.659558	5.08135	0.00805128	-0.0684645	radar	1.17989	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.28779	0.652437	5.15525	-0.00413011	-0.0853363	lidar	2.85023	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.54809	0.657705	5.2501	-0.00116991	-0.0712899	radar	1.95263	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.84341	0.67154	5.29993	0.00442402	-0.0561656	lidar	1.77069	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.08429	0.597776	5.17553	-0.0500777	-0.141585	radar	3.30757	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.33709	0.710927	5.14829	0.0260596	-0.0112579	lidar	3.85934	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.58707	0.742122	5.10389	0.040895	0.0118088	radar	0.371699	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.83252	0.740219	5.09067	0.0342528	0.00132475	lidar	0.177463	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.07358	0.723389	4.95648	0.0185207	-0.0224964	radar	2.08749	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.28844	0.807465	4.90164	0.0645301	0.0438788	lidar	2.75893	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.58639	0.817696	5.13685	0.0622788	0.0380704	radar	5.22684	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.83805	0.796317	5.12942	0.0434433	0.009936	lidar	0.447173	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.08616	0.813332	5.01676	0.0466624	0.0124531	radar	2.18008	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.32204	0.831439	4.99408	0.051228	0.0179012	lidar	0.296618	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.5952	0.9204	5.19687	0.0929825	0.0738844	radar	6.98778	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.83471	0.98112	5.16888	0.116515	0.10053	lidar	0.732828	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.12646	1.02043	5.2404	0.124466	0.103888	radar	6.79761	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.36535	1.05443	5.20746	0.1311	0.106113	lidar	0.634436	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.64618	1.12961	5.27651	0.156009	0.131947	radar	4.3991	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
